index,latitude,longitude,area(m²),bioma
119,-13.47,-53.835,2395835.0409712824,Amazonia
120,-13.48,-54.47,1197868.6923621555,Amazonia
121,-13.49,-54.46,1197819.8285175613,Amazonia
122,-13.49,-53.735,2395639.6570351226,Amazonia
123,-13.545,-56.745,4790201.737689836,Amazonia
124,-13.601,-53.577,10775470.356163263,Amazonia
125,-13.615,-57.155,3591642.70127758,Amazonia
126,-13.875,-56.78,2391822.83137553,Amazonia
127,-13.94,-56.63,1195584.001876145,Amazonia
128,-14.3,-59.89,1193743.3311540035,Amazonia
129,-14.756429,-56.885,3574025.9382730974,Amazonia
130,-15.24,-59.755,2377439.229967257,Amazonia
0,-8.34,-44.145,2436466.4132862967,Caatinga
1,-9.08,-36.725,2431776.1067014867,Caatinga
2,-9.125,-40.248333,4862989.396531886,Caatinga
3,-9.13,-37.76,1215722.455196021,Caatinga
4,-9.149,-40.249,6078279.778605892,Caatinga
5,-9.2,-40.125,2430978.1998328147,Caatinga
6,-9.196429,-40.095,3646500.7446288886,Caatinga
7,-9.21,-40.11,1215455.6189038113,Caatinga
8,-9.67,-37.095,2427752.888667067,Caatinga
9,-9.92,-37.22,1212986.156088956,Caatinga
10,-9.93,-37.23,1212950.075480186,Caatinga
11,-9.93,-36.7,1212950.075480186,Caatinga
12,-9.94,-36.715,2425827.9175908808,Caatinga
13,-9.94,-36.69,1212913.9587954404,Caatinga
14,-10.105,-43.13,4849251.285306685,Caatinga
15,-10.635,-38.97,2420631.028217752,Caatinga
16,-10.69,-39.51,1210102.4548470662,Caatinga
17,-10.7,-39.52,1210063.59894671,Caatinga
18,-11.08,-42.18,1208560.4010407794,Caatinga
19,-11.108333,-42.215,4833798.353554212,Caatinga
20,-11.091667,-42.194333,20545002.83219835,Caatinga
21,-11.2,-38.62,1208074.9126251026,Caatinga
22,-11.21,-38.63,1208034.2214851605,Caatinga
23,-11.545,-39.27,2413300.5778586995,Caatinga
24,-11.5525,-39.25,7239775.921918274,Caatinga
25,-12.225,-43.29,2407434.3450486897,Caatinga
26,-12.421364,-39.664091,8419918.11941151,Caatinga
27,-12.44,-39.66,1202755.2778998485,Caatinga
28,-13.18,-43.695,2398635.983542481,Caatinga
29,-13.21,-43.725,2398349.0189116057,Caatinga
30,-15.145,-43.795,3567752.1752201607,Caatinga
31,-15.18,-43.87,3567148.987829465,Caatinga
32,-15.26,-43.57,3565827.909634225,Caatinga
33,-15.275,-43.55,2377052.9849125748,Caatinga
34,-15.43,-43.69,1187666.0328313145,Caatinga
35,-15.445,-43.675,3562774.836694708,Caatinga
36,-15.46,-43.01,1187498.5066490879,Caatinga
37,-15.466110999999998,-43.029444,4749826.287551849,Caatinga
38,-15.888333,-43.528333,5925425.912458372,Caatinga
39,-15.92,-43.52,1184889.8107940524,Caatinga
40,-15.911667,-43.709444,9479405.849766418,Caatinga
41,-15.925,-43.68,2369722.0780760013,Caatinga
0,-5.45,-47.72,1225490.8462769028,Cerrado
1,-6.325,-45.395,3670851.9432095336,Cerrado
2,-7.13,-47.06,1221640.6767203654,Cerrado
3,-7.31,-46.47,3663502.1479228013,Cerrado
4,-7.3475,-44.13,12210605.740591746,Cerrado
5,-7.405,-45.29,2441825.6929284805,Cerrado
6,-7.535,-45.445,3661663.9927831166,Cerrado
7,-7.59,-46.475,2440815.5861845207,Cerrado
8,-7.64,-46.355,2440538.3223263603,Cerrado
9,-7.68,-44.08,1220157.6031937029,Cerrado
10,-7.683333,-44.088333,10981278.383248907,Cerrado
11,-7.681,-44.06,7320917.602810022,Cerrado
12,-7.796428999999999,-44.655,3659486.729043818,Cerrado
13,-7.81,-45.075,2439582.070269574,Cerrado
14,-7.82,-44.68,3659287.7517967713,Cerrado
15,-7.870238,-44.339286,20733650.57468743,Cerrado
16,-7.86,-44.32,1219648.4167830013,Cerrado
17,-7.86,-44.31,1219648.4167840965,Cerrado
18,-7.91,-44.35,1219504.8926479963,Cerrado
19,-7.94,-45.05,1219418.3434248702,Cerrado
20,-7.95,-45.065,2438778.842462816,Cerrado
21,-7.9631820000000015,-44.710455,30484155.67412715,Cerrado
22,-7.971,-44.559,8535349.199379072,Cerrado
23,-7.97,-44.56,1219331.468170781,Cerrado
24,-8.01,-46.53,1219215.1273612913,Cerrado
25,-8.02,-46.54,1219185.9516042548,Cerrado
26,-8.388333,-45.098333,8526597.382189276,Cerrado
27,-8.385,-44.495,3654304.004827335,Cerrado
28,-8.405,-46.12,2436070.2914447635,Cerrado
29,-8.425,-45.98,2435947.795270754,Cerrado
30,-8.428333,-44.893333,15833583.765325345,Cerrado
31,-8.615,-45.215,3652170.137564722,Cerrado
32,-8.625,-46.15,2434706.9107495854,Cerrado
33,-8.8,-46.21,3650396.105419455,Cerrado
34,-8.806111,-44.646111,6083865.368923991,Cerrado
35,-8.865,-46.275,9732686.261184307,Cerrado
36,-8.885667,-46.067,17031482.57258637,Cerrado
37,-8.89,-46.285,2433018.169409173,Cerrado
38,-8.9,-46.31,3649430.172659666,Cerrado
39,-9.008636,-44.646818,13377236.438761,Cerrado
40,-9.086667,-45.286667,13374603.24170844,Cerrado
41,-9.09,-49.445,2431710.0120111844,Cerrado
42,-9.13,-45.06,1215722.455197116,Cerrado
43,-9.119762,-45.427857,46196951.19038919,Cerrado
44,-9.14,-45.44,1215689.22714241,Cerrado
45,-9.145,-45.04,4862723.644375432,Cerrado
46,-9.19,-46.985,7293168.641380393,Cerrado
47,-9.305,-46.695,12151357.354661645,Cerrado
48,-9.384091,-45.400455,9718910.71314972,Cerrado
49,-9.485,-46.645,3643579.434024528,Cerrado
50,-9.63,-47.265,7284100.710721115,Cerrado
51,-9.665,-46.87,2427788.0310200783,Cerrado
52,-9.685,-46.885,3641488.5831090095,Cerrado
53,-9.69,-46.905,2427612.102672118,Cerrado
54,-9.975,-46.49,4851149.047217766,Cerrado
55,-10.025,-46.638333,6063045.750819792,Cerrado
56,-10.075,-46.3,2424845.697136997,Cerrado
57,-10.105,-46.58,2424625.64265389,Cerrado
58,-10.205,-46.915,4847774.880145619,Cerrado
59,-10.335,-46.97,2422916.9974053227,Cerrado
60,-10.49,-46.53,1210872.0097402134,Cerrado
61,-10.511,-46.51300000000001,8475608.017861817,Cerrado
62,-10.59,-49.87,1210489.033199823,Cerrado
63,-10.6,-49.86,1210450.537429445,Cerrado
64,-10.605,-49.825,3631313.080509887,Cerrado
65,-10.66,-45.775,2420437.612981917,Cerrado
66,-10.705,-46.16,2420088.3059860896,Cerrado
67,-10.73,-46.74,1209946.8152016078,Cerrado
68,-10.79,-49.78,7258351.977398555,Cerrado
69,-10.815,-45.431,9676834.626013152,Cerrado
70,-10.85,-46.73,1209476.439971422,Cerrado
71,-10.86,-49.895,2418874.016098593,Cerrado
72,-10.87,-49.88,1209397.5401355312,Cerrado
73,-10.869615,-46.727308,8465822.212866463,Cerrado
74,-10.88,-46.71,1209358.0362268398,Cerrado
75,-10.91,-49.87,3627717.92566592,Cerrado
76,-10.93,-46.015,14509919.578001693,Cerrado
77,-11.006111,-46.489444,4835404.81378867,Cerrado
78,-11.08,-45.49,1208560.4010429704,Cerrado
79,-11.09,-45.5,1208520.1415047958,Cerrado
80,-11.12,-46.63,1208399.1470576257,Cerrado
81,-11.281667,-45.545,8454033.63464874,Cerrado
82,-11.319,-46.069667,18113598.907851856,Cerrado
83,-11.376667,-46.485,9658819.602018833,Cerrado
84,-11.387,-45.535,7243897.810284194,Cerrado
85,-11.39,-44.785,2414591.2651395737,Cerrado
86,-11.5,-46.055,2413677.078673816,Cerrado
87,-11.51,-46.04,1206796.7697894687,Cerrado
88,-11.58,-47.15,1206503.376927476,Cerrado
89,-11.67,-45.934,10855196.79164859,Cerrado
90,-11.695769,-45.441154,15678164.344946772,Cerrado
91,-11.755,-44.305,3617265.2350921705,Cerrado
92,-11.77,-49.705,2411396.3047914817,Cerrado
93,-11.77375,-45.755,18085044.35375081,Cerrado
94,-11.85,-49.71,1205355.2322364291,Cerrado
95,-11.848333,-49.708333,13258993.32055853,Cerrado
96,-12.06,-48.685,2408888.274408069,Cerrado
97,-12.355,-49.34,2406275.079384449,Cerrado
98,-12.48,-45.665,2405148.9838450337,Cerrado
99,-12.5,-45.65,1202483.883931966,Cerrado
100,-12.516429,-45.680714,14428989.809551556,Cerrado
101,-12.53,-46.54,1202347.703220755,Cerrado
102,-12.605,-57.825,3606040.3669506838,Cerrado
103,-12.635,-44.64,2403737.054337532,Cerrado
104,-12.65,-58.12,1201799.7561882571,Cerrado
105,-12.675,-45.78,2403369.893757711,Cerrado
106,-12.73,-45.72,1201431.5928807538,Cerrado
107,-12.74,-45.73,1201385.4113306315,Cerrado
108,-12.825,-44.505,12010146.521363027,Cerrado
109,-12.925,-45.738333,6002599.524154304,Cerrado
110,-12.995667,-45.854333,19203177.356074154,Cerrado
111,-13.001667,-45.58,12001720.980486488,Cerrado
112,-13.04,-51.605,2399966.6408490315,Cerrado
113,-13.045,-45.41,7199758.0495697865,Cerrado
114,-13.084286,-45.560714,13197448.576848967,Cerrado
115,-13.15,-49.53,1199461.152280168,Cerrado
116,-13.16,-49.54,1199413.467868508,Cerrado
117,-13.2,-51.995,2398444.7452986883,Cerrado
118,-13.221667000000002,-45.491667,8393886.202068752,Cerrado
119,-13.32,-56.33,1198645.6548925373,Cerrado
120,-13.338333,-45.675,5992696.774855052,Cerrado
121,-13.356429,-45.705,3595405.2149083107,Cerrado
122,-13.365,-45.921667,8388972.16251634,Cerrado
123,-13.39,-57.565,2396613.7186679863,Cerrado
124,-13.405,-45.885,4792936.112042061,Cerrado
125,-13.41,-45.625,7189258.362496654,Cerrado
126,-13.43,-45.865,4792449.902933797,Cerrado
127,-13.426429,-45.605,3594386.0766952895,Cerrado
128,-13.5,-45.84,1197770.928949668,Cerrado
129,-13.51,-45.855,2395443.987332285,Cerrado
130,-13.5125,-54.87,9581530.987147026,Cerrado
131,-13.525,-57.69,4790643.083922482,Cerrado
132,-13.561667000000002,-53.275,5987432.98554535,Cerrado
133,-13.58,-52.685,2394756.8932108544,Cerrado
134,-13.595,-52.0,2394609.194489187,Cerrado
135,-13.62,-57.35,1197181.3483397309,Cerrado
136,-13.625,-45.390714,4788676.029527241,Cerrado
137,-13.635,-57.36,2394214.569472068,Cerrado
138,-13.64,-46.715,2394165.1699324204,Cerrado
139,-13.676538,-45.575769,11968895.697417315,Cerrado
140,-13.7,-57.73,1196785.4379990546,Cerrado
141,-13.725,-47.52,2393322.486018897,Cerrado
142,-13.78,-53.25,1196387.2430725694,Cerrado
143,-13.8,-55.52,1196287.3374461213,Cerrado
144,-13.84,-55.96,1196087.0979835065,Cerrado
145,-13.85,-55.97,1196036.9489117386,Cerrado
146,-13.865,-56.04,2391923.307900078,Cerrado
