index,latitude,longitude,area(m²),bioma
0,4.74,-60.69,1226809.5874229404,Amazonia
1,4.73,-60.675,2453653.702588599,Amazonia
2,4.605,-60.54,2454079.1479586945,Amazonia
3,4.47,-60.68,1227262.9353018578,Amazonia
4,4.465,-59.975,3681821.367917242,Amazonia
5,4.395,-60.375,3682144.439376535,Amazonia
6,4.37,-60.355,2454848.2138634464,Amazonia
7,4.33,-61.06,1227487.556090263,Amazonia
8,4.325,-61.03,2454990.883437685,Amazonia
9,4.308333,-61.055,8592664.795803,Amazonia
10,4.3,-60.73,1227534.7606250716,Amazonia
11,4.310651999999998,-60.719348,24550301.51365159,Amazonia
12,4.29,-59.93,1227550.4226433705,Amazonia
13,4.285,-59.775,3682682.5191367865,Amazonia
14,4.28,-60.71,1227566.0482472554,Amazonia
15,4.275,-60.26,2455147.685683981,Amazonia
16,4.28,-59.92,1227566.0482494459,Amazonia
17,4.265,-59.935,3682760.465083045,Amazonia
18,4.26,-59.92,1227597.1902117834,Amazonia
19,4.24,-60.745,2455256.3730263584,Amazonia
20,4.22,-60.75,3682977.1114565195,Amazonia
21,4.14,-60.755,2455561.9660236817,Amazonia
22,4.14,-60.725,2455561.9660236817,Amazonia
23,4.11,-60.7,9822548.722667314,Amazonia
24,4.105,-59.835,3683508.275570064,Amazonia
25,4.081667,-61.158333,12278694.121471865,Amazonia
26,4.045,-61.15,2455845.5235657142,Amazonia
27,4.0505559999999985,-61.088333,7367507.031161788,Amazonia
28,4.035,-64.425,3683819.842956201,Amazonia
29,4.035,-61.18,2455874.990258004,Amazonia
30,4.045,-60.394091,9823396.700130623,Amazonia
31,4.038125,-59.761875,9823455.779201336,Amazonia
32,4.005,-61.18,2455962.953252379,Amazonia
33,4.0,-60.155,2455977.5591179547,Amazonia
34,4.005,-61.15,7367888.786911879,Amazonia
35,3.99,-60.43,1228003.3489980916,Amazonia
36,3.99,-60.14,1228003.3489980916,Amazonia
37,3.990789,-61.259737,13508036.584008012,Amazonia
38,3.98,-60.415,4912071.491626372,Amazonia
39,3.93,-61.215,4912359.966392467,Amazonia
40,3.925,-61.18,4912388.631743119,Amazonia
41,3.93,-59.615,2456180.0014111074,Amazonia
42,3.927,-61.412333,14737151.435051007,Amazonia
43,3.906667,-60.966667,11053124.232346492,Amazonia
44,3.9,-61.395,2456265.669610669,Amazonia
45,3.89,-61.09,1228147.0399831154,Amazonia
46,3.89,-61.07,1228147.0399820202,Amazonia
47,3.865,-60.24,7369094.333999456,Amazonia
48,3.85,-61.11,1228203.4964120954,Amazonia
49,3.84,-60.7,1228217.5194488044,Amazonia
50,3.835,-61.1,2456449.0254947133,Amazonia
51,3.83,-60.69,1228231.5060513848,Amazonia
52,3.825,-60.44,2456476.9622799843,Amazonia
53,3.828333,-59.647222,6141157.457404003,Amazonia
54,3.805,-61.0,4913065.234524361,Amazonia
55,3.785,-60.48,2456587.9808009192,Amazonia
56,3.77,-61.17,1228314.6606465457,Amazonia
57,3.76,-59.8,1228328.392236511,Amazonia
58,3.799583,-61.120278000000006,210034559.22082385,Amazonia
59,3.75,-61.47,1228342.0873945379,Amazonia
60,3.75,-59.79,1228342.0873945379,Amazonia
61,3.74,-61.46,1228355.7461195313,Amazonia
62,3.74,-61.02,1228355.7461195313,Amazonia
63,3.743571,-60.995,3685053.5796336005,Amazonia
64,3.725,-61.01,2456752.322681909,Amazonia
65,3.72,-61.44,1228382.9542715128,Amazonia
66,3.72,-61.125,2456765.9085430256,Amazonia
67,3.71,-61.425,2456793.007392621,Amazonia
68,3.71,-61.03,1228396.5036963106,Amazonia
69,3.776538,-60.944487,120375922.18511184,Amazonia
