index,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude,bioma
0,2018/02/09 17:54:00,0.0,46.07,0.06,-3.29862,-59.54531,Amazonia
1,2018/02/21 17:24:00,0.0,36.4,0.11,-3.36219,-69.56518,Amazonia
2,2018/02/07 16:48:00,0.0,0.0,0.39,-1.48736,-60.37861,Amazonia
3,2018/02/07 17:20:19,0.0,0.0,0.35,-1.43,-60.31,Amazonia
4,2018/02/08 18:12:00,0.0,0.0,0.36,1.6404299999999998,-69.37649,Amazonia
5,2018/02/08 16:30:00,0.0,0.0,0.07,-3.41574,-60.13023000000001,Amazonia
6,2018/02/07 16:48:00,0.0,0.0,0.35,-1.42086,-60.29661,Amazonia
7,2018/02/07 16:48:00,0.0,0.0,0.17,-1.91232,-59.96556,Amazonia
8,2018/02/28 18:36:00,0.0,74.8,0.0,-7.35677,-72.58395,Amazonia
9,2018/02/07 16:48:00,0.0,0.15,0.06,-3.39154,-59.88987,Amazonia
10,2018/02/07 16:48:00,0.0,0.15,0.06,-3.3799,-59.62444,Amazonia
11,2018/02/06 17:05:08,0.0,0.0,0.03,-3.16,-58.97,Amazonia
12,2018/02/10 17:36:00,0.0,14.03,0.22,0.58917,-69.17191,Amazonia
13,2018/02/22 17:12:00,0.0,6.32,0.33,1.2219,-68.97131,Amazonia
14,2018/02/07 16:48:00,0.0,0.0,0.06,-3.10301,-58.06654,Amazonia
15,2018/02/23 18:30:00,0.0,2.48,0.44,1.7059,-69.73651,Amazonia
16,2018/02/08 18:12:00,0.0,0.0,0.25,1.22482,-69.36793,Amazonia
17,2018/02/22 17:12:00,0.0,0.17,0.25,0.60559,-69.17385,Amazonia
18,2018/02/06 17:06:00,0.0,0.0,0.03,-3.38988,-59.58636,Amazonia
19,2018/02/24 18:12:00,0.0,0.0,0.49,1.73466,-69.41288,Amazonia
20,2018/02/08 18:12:00,0.0,0.0,0.07,-3.40429,-59.93936,Amazonia
21,2018/02/08 18:12:00,0.0,0.0,0.07,-3.40478,-59.93515,Amazonia
22,2018/02/07 16:48:00,0.0,0.0,0.06,-3.6414,-58.63383,Amazonia
23,2018/02/10 17:36:00,0.0,2.35,0.42,1.64493,-69.30874,Amazonia
24,2018/02/08 16:30:00,0.0,0.0,0.07,-3.63121,-59.32519,Amazonia
25,2018/02/09 17:54:00,0.0,0.0,0.36,1.58637,-68.77663000000001,Amazonia
26,2018/02/07 16:48:00,0.0,0.75,0.06,-3.81662,-61.31027,Amazonia
27,2018/02/07 16:48:00,0.0,0.0,0.06,-3.81727,-59.19584,Amazonia
28,2018/02/07 17:20:06,0.0,0.15,0.06,-3.38,-59.61,Amazonia
29,2018/02/08 16:30:00,0.0,0.0,0.07,-2.9388400000000003,-59.09959,Amazonia
30,2018/02/09 17:54:00,0.0,0.0,0.37,1.62231,-69.05678,Amazonia
31,2018/02/09 05:12:00,0.0,1.18,0.17,-1.41991,-60.29343000000001,Amazonia
32,2018/02/06 18:48:00,0.0,0.1,0.35,1.7276599999999998,-69.75643000000001,Amazonia
33,2018/02/09 17:54:00,0.0,0.0,0.43,1.73193,-69.42051,Amazonia
34,2018/02/07 18:30:00,0.0,0.0,0.34,1.61435,-68.87523,Amazonia
35,2018/02/09 17:54:00,0.0,2.0,0.04,1.00897,-67.19408,Amazonia
36,2018/02/28 16:54:00,0.0,0.0,0.03,-1.41081,-60.29737,Amazonia
37,2018/02/09 17:54:00,0.0,25.68,0.06,-3.4199300000000004,-60.05471,Amazonia
38,2018/02/23 18:30:00,0.0,18.75,0.0,0.72522,-67.4874,Amazonia
39,2018/02/07 16:48:00,0.0,0.75,0.06,-2.88889,-59.47062,Amazonia
40,2018/02/09 17:54:00,0.0,0.0,0.4,1.68691,-69.37743,Amazonia
41,2018/02/09 17:54:00,0.0,2.0,0.04,1.01231,-67.19457,Amazonia
42,2018/02/09 17:54:00,0.0,0.48,0.06,-4.21917,-59.87844000000001,Amazonia
43,2018/02/07 16:48:00,0.0,0.35,0.06,-3.38515,-59.95378,Amazonia
44,2018/02/26 17:30:00,0.0,33.0,0.01,-3.23221,-60.77993000000001,Amazonia
45,2018/02/07 16:48:00,0.0,0.15,0.06,-3.3850300000000004,-59.62373,Amazonia
46,2018/02/09 17:54:00,0.0,26.92,0.06,-3.4849,-60.11342,Amazonia
47,2018/02/26 17:30:00,0.0,56.8,0.01,-3.81653,-60.45087,Amazonia
48,2018/02/06 17:06:00,0.0,0.0,0.03,-3.75451,-58.56156,Amazonia
49,2018/02/07 16:48:00,0.0,0.15,0.06,-3.38459,-59.62069,Amazonia
50,2018/02/07 15:05:08,0.0,0.0,0.06,-3.15,-59.02,Amazonia
51,2018/02/07 16:48:00,0.0,0.0,0.06,-3.63661,-58.63454,Amazonia
52,2018/02/07 16:48:00,0.0,0.28,0.06,-2.6014,-59.75669,Amazonia
53,2018/02/06 17:06:00,0.0,0.0,,-3.1251900000000004,-57.25782,Amazonia
54,2018/02/06 17:06:00,0.0,0.0,,-3.05804,-57.96793,Amazonia
55,2018/02/06 17:06:00,0.0,0.0,,-3.29987,-57.74233,Amazonia
56,2018/02/06 17:06:00,0.0,0.0,,-2.87279,-56.77701999999999,Amazonia
57,2018/02/06 17:06:00,0.0,0.0,,-2.86945,-56.77751,Amazonia
58,2018/02/07 17:35:20,0.0,0.0,,-1.26,-60.31,Amazonia
59,2018/02/07 16:48:00,0.0,0.03,,-3.49115,-57.46595,Amazonia
60,2018/02/07 17:20:21,0.0,0.0,,-1.26,-60.31,Amazonia
61,2018/02/07 16:48:00,0.0,0.1,,-3.24392,-57.3348,Amazonia
62,2018/02/07 16:48:00,0.0,0.0,,-2.65627,-57.41987,Amazonia
63,2018/02/07 16:48:00,0.0,2.45,,-3.13352,-57.07124,Amazonia
64,2018/02/07 16:48:00,0.0,0.0,,-2.65688,-57.42401,Amazonia
65,2018/02/07 16:48:00,0.0,0.0,,-2.65315,-57.42876999999999,Amazonia
66,2018/02/07 16:48:00,0.0,0.28,,-2.95045,-57.08104,Amazonia
67,2018/02/08 18:12:00,0.0,0.13,,-3.13663,-57.91018,Amazonia
68,2018/02/08 18:12:00,0.0,0.13,,-3.14217,-57.91176,Amazonia
69,2018/02/08 18:12:00,0.0,0.13,,-3.12894,-57.92108,Amazonia
70,2018/02/28 15:20:20,0.0,0.25,,-1.26,-62.01,Amazonia
71,2018/02/28 15:05:21,0.0,0.68,,-1.24,-61.99,Amazonia
72,2018/02/16 17:18:00,0.0,9.32,0.07,-6.4779800000000005,-68.23943,Amazonia
73,2018/02/01 06:06:00,0.0,0.08,0.54,-7.503539999999999,-72.69664,Amazonia
