id,latitude,longitude,area(m²),bioma
2012,-2.785,-42.635,3688481.7684378973,Cerrado
2014,-2.79,-42.4,1229487.1495666169,Cerrado
2018,-2.8,-42.58,3688430.8232609765,Cerrado
2024,-2.84,-41.98,1229435.8033448409,Cerrado
2026,-2.85,-42.05,1229425.4247286592,Cerrado
2028,-2.86,-42.11,1229415.0096498718,Cerrado
2033,-2.885,-42.77,2458777.615812452,Cerrado
2042,-2.9,-43.53,3688118.954340665,Cerrado
2046,-2.91,-43.855,2458724.774841796,Cerrado
2047,-2.91,-43.55,1229362.387420898,Cerrado
2048,-2.915,-41.950714000000005,4917438.9158664085,Cerrado
2058,-2.94,-43.72,1229330.3766100085,Cerrado
2062,-2.95,-43.71,1229319.6334269135,Cerrado
2069,-2.96,-42.955,2458617.707579949,Cerrado
2071,-2.965,-42.195,4917213.7829783335,Cerrado
2072,-2.965,-42.045,3687915.7452780474,Cerrado
2075,-2.97,-42.23,1229298.037698097,Cerrado
2076,-2.966429,-42.165,3687904.92918836,Cerrado
2081,-2.98,-42.895,2458574.3703025607,Cerrado
2082,-2.98,-42.82,1229287.1851523758,Cerrado
2083,-2.98,-42.215,2458574.3703047517,Cerrado
2084,-2.98,-42.12,1229287.1851523758,Cerrado
2088,-2.99,-42.03,1229276.296156097,Cerrado
2089,-2.99,-42.005,2458552.592310003,Cerrado
2094,-3.0,-42.14,1229265.3707004976,Cerrado
2101,-3.019444,-42.038333,6146217.0157036185,Cerrado
2110,-3.03,-43.01,1229232.3756161148,Cerrado
2113,-3.04,-43.0,1229221.304349522,Cerrado
2118,-3.052692,-42.061153999999995,13521245.15208956,Cerrado
2126,-3.06,-42.21,1229199.052459187,Cerrado
2135,-3.07,-43.5,1229187.8718321586,Cerrado
2136,-3.07,-43.01,1229187.8718321586,Cerrado
2137,-3.07,-42.845,2458375.7436643173,Cerrado
2138,-3.075,-42.125,4916729.053182225,Cerrado
2139,-3.07,-41.94,3687563.6154942857,Cerrado
2145,-3.08,-43.485,2458353.309513526,Cerrado
2146,-3.08,-43.0,1229176.654756763,Cerrado
2147,-3.08,-42.83,1229176.654756763,Cerrado
2148,-3.08,-42.03,1229176.6547578585,Cerrado
2149,-3.08,-42.015,2458353.309515717,Cerrado
2161,-3.09,-43.47,1229165.4012286193,Cerrado
2162,-3.09,-42.57,1229165.4012286193,Cerrado
2163,-3.09,-42.55,1229165.4012297143,Cerrado
2164,-3.09,-42.045,2458330.802455048,Cerrado
2172,-3.105,-43.49,2458296.8960672896,Cerrado
2173,-3.1,-42.91,3687462.333746467,Cerrado
2174,-3.1,-42.56,1229154.1112488222,Cerrado
2175,-3.1,-42.48,1229154.1112488222,Cerrado
2181,-3.11,-42.515,2458285.5696347444,Cerrado
2182,-3.11,-42.47,1229142.784816277,Cerrado
2183,-3.085,-42.008043,18437593.006937027,Cerrado
2194,-3.12,-42.56,1229131.4219364594,Cerrado
2201,-3.13,-42.57,1229120.0226049891,Cerrado
2209,-3.15,-42.96,1229097.1145903743,Cerrado
2210,-3.155,-42.325,3687279.835083597,Cerrado
2211,-3.15,-42.1,1229097.1145903743,Cerrado
2212,-3.155,-42.005,4916365.440995209,Cerrado
2216,-3.16,-42.97,1229085.6059083254,Cerrado
2217,-3.16,-42.16,1229085.6059083254,Cerrado
2218,-3.16,-42.09,1229085.605906135,Cerrado
2219,-3.165,-42.065,3687245.2725901785,Cerrado
