id,latitude,longitude,area(m²),bioma
197,-2.765,-43.635,4918049.905286527,Cerrado
200,-2.806429,-42.715,3688410.394146063,Cerrado
201,-2.825,-43.275,3688348.742221269,Cerrado
203,-2.85,-43.165,4917701.662453126,Cerrado
205,-2.88,-43.29,1229394.0701296707,Cerrado
211,-2.995,-43.25,2458541.6668533087,Cerrado
215,-3.01,-43.62,1229254.4087910547,Cerrado
218,-3.0264290000000003,-43.635,3687708.1616665693,Cerrado
219,-3.04,-43.27,1229221.304349522,Cerrado
240,-3.13,-43.145,2458240.0452099782,Cerrado
243,-3.145,-43.28,2458205.70141224,Cerrado
246,-3.165,-43.165,3687245.2725901785,Cerrado
248,-3.17,-43.885,2458148.121544866,Cerrado
250,-3.18,-43.9,1229062.4791936495,Cerrado
251,-3.18,-43.16,1229062.4791925545,Cerrado
254,-3.19,-43.89,1229050.861161023,Cerrado
256,-3.205,-43.87,2458066.7224372663,Cerrado
263,-3.265,-42.895,4915850.238364077,Cerrado
266,-3.28,-42.98,1228944.6587248042,Cerrado
269,-3.29,-42.97,1228932.6762183616,Cerrado
274,-3.335,-44.205,4915513.1974793095,Cerrado
279,-3.347,-43.235,7373196.698478381,Cerrado
280,-3.35,-43.23,1228860.0158242327,Cerrado
281,-3.36,-43.23,1228847.7782033149,Cerrado
293,-3.42,-44.225,2457547.1742972434,Cerrado
294,-3.43,-44.43,1228761.0944241812,Cerrado
295,-3.435,-44.318333,6143780.4137851475,Cerrado
296,-3.43,-43.1,1228761.0944252766,Cerrado
299,-3.4375,-44.46,7372491.318657509,Cerrado
304,-3.475,-44.290714,4914830.361490578,Cerrado
305,-3.47,-43.27,1228710.7591051778,Cerrado
306,-3.485,-43.2,2457383.456969399,Cerrado
319,-3.5464290000000003,-44.370714,6143067.556613158,Cerrado
322,-3.565,-44.225,3685773.1157186283,Cerrado
323,-3.56,-43.77,1228595.372870958,Cerrado
325,-3.57,-43.76,1228582.3699799979,Cerrado
326,-3.57,-43.035,2457164.7399643767,Cerrado
328,-3.595,-42.93,2457099.397579416,Cerrado
336,-3.675,-43.06,2456887.2704332857,Cerrado
346,-3.725,-44.61,2456752.322683004,Cerrado
347,-3.72,-43.155,2456765.9085430256,Cerrado
351,-3.755,-44.505,3685012.567025587,Cerrado
358,-3.8075,-41.83,7369556.146981558,Cerrado
359,-3.81,-41.85,1228259.369973874,Cerrado
360,-3.81625,-44.11875,4912995.7386541935,Cerrado
361,-3.82,-42.93,1228245.4562285985,Cerrado
362,-3.82,-42.91,1228245.4562285985,Cerrado
365,-3.835,-43.005,3684666.5449446132,Cerrado
366,-3.84,-42.91,7369277.034179804,Cerrado
371,-3.87,-44.13,3684526.023161445,Cerrado
373,-3.891667,-43.08,9825161.932531832,Cerrado
374,-3.925,-43.115,3684284.3165749223,Cerrado
375,-3.9425,-44.28,8596558.214076746,Cerrado
376,-3.93,-43.005,2456180.0014089164,Cerrado
378,-3.95,-44.27,1228061.2625052629,Cerrado
379,-3.95,-43.025,2456122.5250127167,Cerrado
380,-3.956429,-44.260714,6140263.041310088,Cerrado
384,-3.995,-43.03,2455992.128557069,Cerrado
392,-4.090555999999999,-44.138333,12278545.149009112,Cerrado
403,-4.161129,-44.277903,40515649.86648669,Cerrado
404,-4.175,-42.925,4910911.6557551455,Cerrado
406,-4.18,-43.355,2455440.6028574323,Cerrado
408,-4.195,-43.285,3683099.822094088,Cerrado
415,-4.235,-44.278333,6138187.263149292,Cerrado
418,-4.265,-43.315,3682776.017860293,Cerrado
421,-4.28,-43.32,1227566.04824616,Cerrado
430,-4.34,-44.38,1227471.7484197845,Cerrado
432,-4.35,-42.99,1227455.9043359878,Cerrado
434,-4.365,-43.085,4909728.261538999,Cerrado
440,-4.3716669999999995,-43.919444,7364512.69854923,Cerrado
441,-4.385,-44.361667,6137008.7886182815,Cerrado
446,-4.43,-42.855,9818622.654114157,Cerrado
456,-4.535,-43.72,2454312.4336361433,Cerrado
458,-4.55,-43.735,2454262.753277148,Cerrado
482,-4.716429,-43.525,3680549.427383888,Cerrado
484,-4.73,-43.56,1226826.8512964905,Cerrado
485,-4.74,-43.13,3680428.725876313,Cerrado
486,-4.74,-43.55,1226809.5874229404,Cerrado
495,-4.82,-43.335,2453340.3323718905,Cerrado
579,-5.295,-46.271667,6128981.568810375,Cerrado
580,-5.305,-43.625,4903100.255831697,Cerrado
587,-5.345,-45.945,3677102.0064821583,Cerrado
590,-5.36,-45.96,1225668.1602356452,Cerrado
592,-5.382999999999999,-45.931000000000004,8579363.715280164,Cerrado
593,-5.391,-45.893,8579265.607578576,Cerrado
594,-5.39,-45.685,2451218.765805652,Cerrado
596,-5.405,-41.69,2451159.7338873725,Cerrado
597,-5.411667,-41.645,6127869.7460224675,Cerrado
600,-5.41,-45.11,1225570.0161678356,Cerrado
603,-5.425,-45.1,2451080.7822047253,Cerrado
604,-5.42,-44.81,1225550.278246626,Cerrado
605,-5.42,-41.85,1225550.278246626,Cerrado
606,-5.42,-41.83,1225550.2782444356,Cerrado
607,-5.435,-41.815,3676571.7012173594,Cerrado
611,-5.428529,-43.254412,12255324.522915645,Cerrado
612,-5.44,-45.14625,18382580.647752672,Cerrado
613,-5.445,-43.32,2451001.5395769672,Cerrado
615,-5.455,-45.613182,31862761.27586846,Cerrado
616,-5.455,-45.295,4901923.618328844,Cerrado
621,-5.46,-46.7,1225470.9628875193,Cerrado
622,-5.47,-46.71,1225451.043130818,Cerrado
626,-5.48,-45.71,3676293.2610280663,Cerrado
627,-5.456818,-41.855455,28185990.15890757,Cerrado
633,-5.5,-46.69,1225391.0656688584,Cerrado
634,-5.505,-43.59,2450762.066124889,Cerrado
640,-5.52,-45.55,1225350.8988736959,Cerrado
644,-5.540882,-45.662059,12253085.437382972,Cerrado
647,-5.53,-45.62,1225330.760928424,Cerrado
648,-5.53,-45.58,1225330.7609295195,Cerrado
649,-5.544231,-45.244231,9802423.951894537,Cerrado
650,-5.535,-45.205,3675951.934175429,Cerrado
651,-5.53,-43.23,1225330.7609306148,Cerrado
656,-5.5575,-45.565,6126391.065951198,Cerrado
657,-5.545,-43.235,3675891.338533694,Cerrado
663,-5.566667,-45.695,9802059.54170536,Cerrado
664,-5.550555999999999,-43.348333000000004,9802363.392606976,Cerrado
670,-5.565,-45.2,2450519.974452681,Cerrado
671,-5.57,-45.155,4900999.345759345,Cerrado
674,-5.57,-43.535,2450499.6910600453,Cerrado
675,-5.57,-43.52,1225249.8455300226,Cerrado
679,-5.58,-45.72,1225229.5257744507,Cerrado
680,-5.58,-45.68,1225229.525775546,Cerrado
681,-5.58,-45.62,1225229.525775546,Cerrado
682,-5.576111,-45.233889000000005,7351417.794167705,Cerrado
683,-5.546379,-43.520517,34308713.61803397,Cerrado
684,-5.58,-43.23,3675688.577331018,Cerrado
687,-5.586111,-45.669444,4900857.034770754,Cerrado
688,-5.59,-45.58,1225209.1696647045,Cerrado
689,-5.595,-45.53,2450397.946854536,Cerrado
690,-5.59,-43.49,1225209.1696657995,Cerrado
691,-5.59,-43.21,1225209.1696657995,Cerrado
692,-5.59625,-45.70875,4900775.501228723,Cerrado
693,-5.6,-45.65,1225188.7771876408,Cerrado
694,-5.6,-45.58,1225188.7771876408,Cerrado
695,-5.6,-45.57,1225188.7771876408,Cerrado
696,-5.6,-43.185,2450377.5543752816,Cerrado
699,-5.61,-43.45,13476933.51088683,Cerrado
700,-5.61,-45.62,1225168.3483542127,Cerrado
701,-5.61,-45.435,2450336.696710616,Cerrado
703,-5.625,-47.49,2450275.2647728245,Cerrado
704,-5.62,-45.61,1225147.883161134,Cerrado
707,-5.63,-45.705,2450254.763223381,Cerrado
710,-5.64,-45.555,2450213.6874051928,Cerrado
711,-5.651,-45.245,15926100.782938208,Cerrado
712,-5.64,-43.47,1225106.843700406,Cerrado
713,-5.65,-46.21,1225086.2694327568,Cerrado
714,-5.65,-45.485,2450172.5388655136,Cerrado
715,-5.655,-45.425,3675238.197675352,Cerrado
716,-5.65,-43.46,1225086.269433852,Cerrado
717,-5.665,-46.195,3675176.329442565,Cerrado
718,-5.66,-44.83,1225065.658809838,Cerrado
719,-5.659286,-43.667857,18376005.16553692,Cerrado
721,-5.67,-44.83,1225045.011826174,Cerrado
722,-5.667000000000001,-43.38399999999999,28176509.46180387,Cerrado
723,-5.675,-42.29,2450069.3403123184,Cerrado
725,-5.68,-43.33,1225024.32848724,Cerrado
727,-5.6770000000000005,-42.261,11025342.947355146,Cerrado
729,-5.69,-45.31,1225003.6087941322,Cerrado
730,-5.691429,-43.622143,23274964.35058777,Cerrado
731,-5.69,-43.35,1225003.6087941322,Cerrado
734,-5.7104550000000005,-45.385,12249558.080787968,Cerrado
735,-5.692143,-44.825952,41649768.31925567,Cerrado
736,-5.71,-44.84,1224962.0603399174,Cerrado
739,-5.72,-45.32,1224941.2315820963,Cerrado
740,-5.72,-43.385,2449882.463164193,Cerrado
741,-5.725,-42.23,2449861.598052198,Cerrado
746,-5.713125,-46.22875,22049108.14419146,Cerrado
747,-5.73,-42.2,3674761.099410305,Cerrado
751,-5.737222,-45.346111,8574317.08379411,Cerrado
752,-5.755,-45.315,4899472.160400655,Cerrado
754,-5.76,-43.305,2449715.106029096,Cerrado
755,-5.629706,-45.548235,329559428.8525036,Cerrado
762,-5.77,-45.81,1224836.5424924279,Cerrado
763,-5.77,-45.79,3674509.627476189,Cerrado
764,-5.77,-45.59,1224836.5424913326,Cerrado
765,-5.77,-44.965,2449673.0849848557,Cerrado
766,-5.775,-43.77,2449652.038109657,Cerrado
767,-5.77,-42.81,1224836.5424924279,Cerrado
768,-5.78,-42.6475,8573708.396612255,Cerrado
770,-5.78,-42.82,1224815.4956161336,Cerrado
771,-5.78,-42.8,1224815.495617229,Cerrado
775,-5.788333000000001,-45.786111,44093123.63661746,Cerrado
776,-5.794231,-43.455,12247880.656133303,Cerrado
777,-5.795,-43.325,7348703.042916338,Cerrado
784,-5.805,-48.075,7348597.445042413,Cerrado
785,-5.811667,-46.995,6123781.804022725,Cerrado
786,-5.8,-46.17,1224773.2928163563,Cerrado
787,-5.8,-46.15,1224773.2928163563,Cerrado
788,-5.8,-46.04,1224773.2928163563,Cerrado
789,-5.8,-44.135,2449546.585632713,Cerrado
796,-5.81,-46.16,1224752.1368873974,Cerrado
797,-5.817381,-45.035476,26944270.930376753,Cerrado
798,-5.821667,-43.228333,8573095.310974004,Cerrado
799,-5.815,-43.115,3674235.218391107,Cerrado
804,-5.825,-46.04,2449440.660602984,Cerrado
805,-5.82,-43.46,1224730.944615217,Cerrado
806,-5.835,-44.155,3674107.8829915323,Cerrado
807,-5.83,-42.61,3674129.1479665856,Cerrado
810,-5.84,-44.18,1224688.4510138093,Cerrado
811,-5.84,-44.14,1224688.4510138093,Cerrado
812,-5.84,-43.21,1224688.4510149043,Cerrado
813,-5.807174,-46.034565,37967461.20897364,Cerrado
815,-5.85,-47.405,7348002.825464862,Cerrado
816,-5.839412,-45.960294,48987615.5400494,Cerrado
819,-5.855,-47.365,4898625.923432863,Cerrado
820,-5.843333,-45.666667,17145616.61306238,Cerrado
821,-5.87,-44.225,13470868.381930076,Cerrado
822,-5.855,-43.751667,6123293.0731283985,Cerrado
823,-5.85,-43.37,1224667.149693345,Cerrado
824,-5.85,-43.06,1224667.14969444,Cerrado
826,-5.865,-46.06,2449270.2500348855,Cerrado
827,-5.86,-45.97,1224645.8120252774,Cerrado
828,-5.86,-43.38,1224645.8120252774,Cerrado
829,-5.865,-43.355,3673894.688042303,Cerrado
830,-5.864091,-43.032272999999996,13470911.420742234,Cerrado
835,-5.87,-47.35,1224624.4380085126,Cerrado
836,-5.87,-46.14,1224624.4380074174,Cerrado
837,-5.82625,-44.15375,110224897.26681426,Cerrado
838,-5.887727,-43.773182,11021341.352944953,Cerrado
849,-5.876429,-46.125,3673830.4933000887,Cerrado
850,-5.88,-43.965,2449206.055290481,Cerrado
851,-5.88,-43.735,2449206.055290481,Cerrado
852,-5.88,-43.48,1224603.0276452405,Cerrado
853,-5.88,-43.325,2449206.055290481,Cerrado
858,-5.89,-46.145,2449163.161875303,Cerrado
859,-5.89,-43.98,1224581.5809376515,Cerrado
860,-5.89,-43.95,1224581.5809376515,Cerrado
861,-5.895,-43.46,2449141.678821206,Cerrado
866,-5.896429,-46.175,3673701.7767003807,Cerrado
867,-5.892059,-43.398528999999996,14694849.92753464,Cerrado
869,-5.907222,-46.916111,8571791.496086061,Cerrado
870,-5.91,-46.1,1224538.5784829515,Cerrado
871,-5.906429,-43.805,3673637.2548439824,Cerrado
872,-5.91,-43.45,1224538.5784818565,Cerrado
873,-5.91,-42.68,1224538.5784829515,Cerrado
876,-5.92,-46.16,1224517.0227380316,Cerrado
877,-5.92,-42.67,1224517.0227391268,Cerrado
879,-5.917000000000001,-44.108999999999995,9796157.592275193,Cerrado
882,-5.922143,-45.625,18367517.31929581,Cerrado
886,-5.93,-46.17,1224495.43064989,Cerrado
887,-5.950556,-46.063889,20815815.852742504,Cerrado
888,-5.925,-45.75,9796049.81355059,Cerrado
889,-5.93,-45.73,1224495.43064989,Cerrado
890,-5.93,-45.05,1224495.430650985,Cerrado
891,-5.93,-44.13,1224495.430650985,Cerrado
892,-5.935,-43.41,2448969.2328706067,Cerrado
897,-5.9222220000000005,-45.698333,19592163.894551747,Cerrado
898,-5.94,-45.15,1224473.8022174314,Cerrado
899,-5.94,-45.025,2448947.6044370537,Cerrado
900,-5.930714,-43.361429,12244932.605376713,Cerrado
901,-5.948333,-43.315,6122238.949759779,Cerrado
902,-5.94,-43.225,2448947.6044370537,Cerrado
903,-5.955,-46.545,3673334.711212925,Cerrado
904,-5.95,-46.17,3673356.4123329218,Cerrado
905,-5.95,-46.14,1224452.1374450377,Cerrado
906,-5.955,-45.135,4897765.147540157,Cerrado
907,-5.95,-45.01,1224452.1374450377,Cerrado
914,-5.968846,-46.101923,12244108.544417912,Cerrado
915,-5.96,-45.735,2448860.8726500818,Cerrado
916,-5.96,-45.29,1224430.4363250409,Cerrado
917,-5.97,-45.1625,7346430.38305523,Cerrado
920,-5.9740910000000005,-45.879545,8570795.497977382,Cerrado
921,-5.97,-45.01,1224408.6988651087,Cerrado
922,-5.975,-44.44,2448795.6239314447,Cerrado
923,-5.97,-44.305,2448817.3977324083,Cerrado
924,-5.975,-42.635,3673182.548994495,Cerrado
925,-5.97,-42.595,2448817.3977324083,Cerrado
926,-5.95875,-42.41625,28162289.674367804,Cerrado
929,-5.9655879999999994,-45.677941,17141917.09419149,Cerrado
932,-5.99,-46.645,2448730.2298486843,Cerrado
933,-5.99,-45.645,2448730.2298443033,Cerrado
934,-5.99,-45.17,1224365.114923247,Cerrado
935,-5.99,-44.275,2448730.2298486843,Cerrado
936,-5.990714,-44.105,6121803.6917899875,Cerrado
937,-5.99,-42.62,1224365.1149243421,Cerrado
940,-6.0,-45.9,1224343.2684380312,Cerrado
941,-6.0,-45.11,1224343.2684391264,Cerrado
942,-6.0025,-45.23,8570446.53570438,Cerrado
945,-6.0,-43.776666999999996,8570380.959918655,Cerrado
946,-6.005,-42.745,3673007.9224955137,Cerrado
950,-6.01,-48.01,1224321.3856172608,Cerrado
951,-6.015,-46.225,4897241.704143251,Cerrado
952,-6.01,-46.08,3672964.1568528796,Cerrado
953,-6.015,-45.121666999999995,4897219.7849836415,Cerrado
954,-6.01,-44.38,1224321.3856183565,Cerrado
955,-6.01,-43.71,1224321.3856183565,Cerrado
956,-6.01,-42.62,1224321.3856183565,Cerrado
957,-6.01,-42.6,1224321.3856183565,Cerrado
963,-6.03,-46.04,6121387.518423205,Cerrado
964,-6.02,-45.22,1224299.4664532696,Cerrado
965,-6.02,-44.41,1224299.4664532696,Cerrado
966,-6.02,-44.38,1224299.46645546,Cerrado
967,-6.02,-42.61,1224299.4664532696,Cerrado
968,-6.0175,-42.585,6121541.09791665,Cerrado
971,-6.045,-46.68899999999999,8569700.44839996,Cerrado
972,-6.03,-46.07,1224277.5109526282,Cerrado
973,-6.03,-45.42,1224277.5109526282,Cerrado
974,-6.03,-45.02,1224277.5109526282,Cerrado
975,-6.03,-44.44,1224277.5109526282,Cerrado
976,-6.03,-44.3775,12242731.01682751,Cerrado
977,-6.035,-42.965,3672788.5491778255,Cerrado
978,-6.035,-42.728333,6121343.571083083,Cerrado
979,-6.03,-42.625,2448555.0219052564,Cerrado
980,-6.026429,-42.605,3672854.488359621,Cerrado
986,-6.04,-46.67,1224255.5191131465,Cerrado
987,-6.048333,-46.595,4896955.955580968,Cerrado
988,-6.04,-46.08,1224255.519112051,Cerrado
989,-6.045,-45.435,4896978.02009375,Cerrado
990,-6.055,-44.528999999999996,7345356.707566861,Cerrado
991,-6.04,-44.43,1224255.519112051,Cerrado
992,-6.04,-42.99,1224255.5191131465,Cerrado
993,-6.04,-42.605,2448511.038224102,Cerrado
994,-6.05,-46.65,1224233.4909359196,Cerrado
995,-6.06,-45.15,8569479.912255809,Cerrado
996,-6.0433330000000005,-44.99,8569766.423921691,Cerrado
997,-6.061,-44.591,6121057.095759327,Cerrado
998,-6.055,-44.44,4896889.834704972,Cerrado
999,-6.05,-44.4,1224233.490934824,Cerrado
1000,-6.05,-42.98,1224233.4909359196,Cerrado
1005,-6.06,-45.23,3672634.27925189,Cerrado
1006,-6.06,-44.41,1224211.4264176616,Cerrado
1007,-6.065,-44.12,4896801.503965212,Cerrado
1014,-6.059667,-46.012333,17138937.54197127,Cerrado
1015,-6.07,-45.62,1224189.325564945,Cerrado
1016,-6.075,-44.69,2448356.513942713,Cerrado
1017,-6.075,-44.085,3672523.702313909,Cerrado
1018,-6.065,-43.23,4896801.503971783,Cerrado
1023,-6.08,-47.53,1224167.188373387,Cerrado
1024,-6.08,-45.24,1224167.1883755776,Cerrado
1025,-6.08,-43.25,1224167.188373387,Cerrado
1028,-6.111346,-47.640962,160357805.2248045,Cerrado
1034,-6.08,-45.84,8569170.245951362,Cerrado
1035,-6.093889,-45.651666999999996,33051848.081007466,Cerrado
1045,-6.09,-46.58,3672435.0445508733,Cerrado
1046,-6.086429,-44.305,3672457.2180736037,Cerrado
1047,-6.09,-42.47,1224145.0148495608,Cerrado
1054,-6.1,-45.9,1224122.80499018,Cerrado
1055,-6.105,-45.555,3672346.168777795,Cerrado
