id,latitude,longitude,area(m²),bioma
98,-3.126429,-40.055,3687371.4671475324,Caatinga
116,-3.595,-38.87,2457099.397579416,Caatinga
124,-3.995,-41.438333,4911998.826548872,Caatinga
125,-4.015,-41.44,2455933.70509805,Caatinga
138,-4.296429,-39.265,3682619.9438924175,Caatinga
157,-4.67,-41.16,3680788.97409852,Caatinga
190,-5.16,-38.15,1226051.6432755946,Caatinga
191,-5.17,-38.16,1226032.814698324,Caatinga
192,-5.17,-38.14,1226032.814698324,Caatinga
193,-5.2010000000000005,-40.685,9807827.677803712,Caatinga
194,-5.21,-40.67,1225957.1366098274,Caatinga
199,-5.37,-41.085,2451297.208323951,Caatinga
219,-5.712999999999999,-41.178999999999995,11024533.461457476,Caatinga
232,-5.855,-38.29,2449312.9617164317,Caatinga
234,-5.87,-38.3,1224624.4380096078,Caatinga
322,-6.15,-38.295,2448022.4213374387,Caatinga
325,-6.16,-38.28,1223988.7828080591,Caatinga
334,-6.17,-38.31,1223966.318610749,Caatinga
338,-6.18,-38.32,1223943.8180866465,Caatinga
360,-6.22,-40.9,3671560.358030027,Caatinga
376,-6.31,-39.39,3670944.015981305,Caatinga
528,-6.71,-38.56,1222699.3139429388,Caatinga
529,-6.715,-38.535,3668073.4802033673,Caatinga
532,-6.72,-38.55,1222674.8523174895,Caatinga
537,-6.73,-38.56,1222650.354390439,Caatinga
630,-6.91,-41.715,2444406.369617576,Caatinga
740,-7.085,-41.32,2443514.3185865628,Caatinga
746,-7.095,-41.26,2443462.673512928,Caatinga
756,-7.105,-41.42,2443410.955884283,Caatinga
757,-7.1,-41.33,1221718.416418679,Caatinga
758,-7.1,-41.31,1221718.416418679,Caatinga
769,-7.115,-41.27,4886718.331390302,Caatinga
774,-7.1075,-41.385,20768798.50366852,Caatinga
775,-7.136111,-40.689444,24433046.64465769,Caatinga
813,-7.183947,-41.454474,24430206.974708304,Caatinga
822,-7.18,-41.47,1221510.3850096893,Caatinga
834,-7.19,-37.85,3664452.653527239,Caatinga
932,-7.359,-41.151,10989250.54538842,Caatinga
965,-7.42,-43.575,2441744.7252517864,Caatinga
984,-7.446428999999999,-43.565,3662400.5334925777,Caatinga
1016,-7.55,-43.37,1220518.0461591484,Caatinga
1084,-7.76,-43.605,2439865.4952424173,Caatinga
1121,-7.895,-43.58,7317288.242776822,Caatinga
1336,-8.5,-42.1,1217742.9325244252,Caatinga
1340,-8.51,-42.075,2435423.9655439383,Caatinga
1342,-8.52,-42.2,1217680.9968318194,Caatinga
1351,-8.522,-42.17100000000001,15829945.410037065,Caatinga
1352,-8.530455,-42.093182,26788577.84659535,Caatinga
1364,-8.56,-42.12,1217556.6912260517,Caatinga
1365,-8.56,-42.09,1217556.6912249564,Caatinga
1366,-8.56,-42.07,1217556.6912260517,Caatinga
1551,-9.05,-42.7,1215986.978521807,Caatinga
1552,-9.05,-42.68,1215986.9785229021,Caatinga
1553,-9.052273,-40.467727000000004,27966810.324055035,Caatinga
1558,-9.06,-42.71,1215954.0396115887,Caatinga
1559,-9.06,-42.69,1215954.0396115887,Caatinga
1560,-9.06,-42.67,1215954.0396115887,Caatinga
1565,-9.07,-41.05,1215921.0645531071,Caatinga
1567,-9.091154,-41.031923,17021969.722644944,Caatinga
1568,-9.09,-41.04,1215855.006004497,Caatinga
1569,-9.09,-41.0,1215855.0060034015,Caatinga
1578,-9.11,-41.0,1215788.8028825477,Caatinga
1590,-9.161667,-40.588333,23096629.95654455,Caatinga
1598,-9.16,-40.96,1215622.6626177796,Caatinga
1600,-9.181667,-40.945,6077813.104160977,Caatinga
1609,-9.185,-42.865,7293268.903748056,Caatinga
1613,-9.19,-42.88,1215522.5447960738,Caatinga
1614,-9.165,-40.261666999999996,14587271.35437712,Caatinga
1615,-9.2,-42.88,1215489.0999175026,Caatinga
1616,-9.1925,-42.895,6077545.761948605,Caatinga
1635,-9.235,-40.51,2430743.5075373207,Caatinga
1652,-9.28,-40.04,1215220.2401023663,Caatinga
1657,-9.3,-43.335,2430305.327698261,Caatinga
1658,-9.295769,-40.061923,25518002.27280315,Caatinga
1669,-9.325,-40.2,2430135.971611505,Caatinga
1675,-9.355,-40.195,3644881.227154024,Caatinga
1676,-9.35,-40.18,1214983.091010797,Caatinga
1679,-9.375,-40.685,3644676.836661796,Caatinga
1692,-9.42,-40.775,2429488.3437926993,Caatinga
1693,-9.416428999999999,-40.390714,6073789.338800839,Caatinga
1717,-9.46,-40.38,1214606.8520887769,Caatinga
