id,latitude,longitude,area(m²),bioma
1715,-17.19,-55.27,3531896.7132592136,Pantanal
1785,-17.84,-55.4,1173193.7473363064,Pantanal
1788,-17.885,-55.401667,5864552.431350278,Pantanal
1814,-18.545,-55.14,2337146.835980544,Pantanal
1838,-19.1,-56.65,1164813.6520152958,Pantanal
1840,-19.11,-56.64,1164744.9206484822,Pantanal
1841,-19.125,-56.66,2329283.5074730366,Pantanal
1842,-19.22,-56.915,2327973.1407747557,Pantanal
1843,-19.225,-56.82,4655807.980621723,Pantanal
1845,-19.245,-56.905,3491475.4833903126,Pantanal
1846,-19.26,-56.15,5818548.760506808,Pantanal
1847,-19.278333,-55.575,4654353.865997566,Pantanal
1848,-19.3,-55.59,1163432.3892470784,Pantanal
1854,-19.45,-56.585,2324774.5594668016,Pantanal
1861,-19.58,-57.59,1161475.1704215193,Pantanal
1862,-19.59,-57.6,1161404.7641362394,Pantanal
