,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-15.938332999999998,-55.975,Pantanal,5923815.792019462,0.0,0.0,1.0
1,-16.07375,-55.915,Pantanal,15392007.461366344,0.0,0.0,1.0
2,-16.241154,-56.175577000000004,Pantanal,86361708.53275102,0.0,0.0,1.0
3,-16.308332999999998,-56.025,Pantanal,18922204.34992021,0.0,0.0,1.0
4,-16.315,-55.761667,Pantanal,8278041.075161159,0.0,0.0,1.0
5,-16.33,-56.185,Pantanal,4730006.008558822,0.0,16.3,0.03
6,-16.355,-56.175,Pantanal,3547091.3692195117,0.0,0.0,0.48
7,-16.355,-56.075,Pantanal,4729415.782248282,0.0,0.0,1.0
8,-16.38,-56.18,Pantanal,3546618.5305613964,0.0,0.0,0.13
9,-16.39,-56.143333,Pantanal,8274910.591888291,0.0,0.0,0.55
10,-16.435,-56.13,Pantanal,2363760.5877154474,0.0,0.0,1.0
11,-16.46,-55.68,Pantanal,1181731.818201945,0.0,0.0,1.0
12,-16.465937,-56.25625,Pantanal,42540855.57449435,0.0,0.0,0.61
13,-16.506429,-56.225,Pantanal,3544362.181561517,0.0,0.0,1.0
14,-16.51,-55.97,Pantanal,1181434.1954443876,0.0,0.0,0.53
15,-16.51,-55.72,Pantanal,1181434.1954454829,0.0,0.0,1.0
16,-16.515,-55.971000000000004,Pantanal,14177210.133378353,0.0,0.0,0.53
17,-16.535,-55.73,Pantanal,2362570.0967936493,0.0,0.0,0.16
18,-16.516176,-55.71343100000001,Pantanal,55526448.39791987,0.0,0.0,1.0
19,-16.568889000000002,-55.672778,Pantanal,21259724.263033707,0.0,0.0,0.99
20,-16.57,-55.68,Pantanal,1181075.8821706902,0.0,0.0,0.98
21,-16.6,-55.67,Pantanal,1180896.248635575,0.0,0.0,1.0
22,-16.65,-57.195,Pantanal,2361192.30603964,0.0,0.0,0.05
23,-16.67,-57.21,Pantanal,1180475.8675765246,0.0,0.0,0.03
24,-16.686429,-57.225,Pantanal,3541126.5536644864,0.0,0.0,0.03
25,-16.73,-56.67,Pantanal,1180114.1638423614,0.0,0.0,0.02
26,-16.745,-58.19,Pantanal,2360047.069826005,0.0,0.0,0.45
27,-16.746429,-56.696429,Pantanal,8260134.522979963,0.0,0.0,0.09
28,-16.759375,-56.49,Pantanal,21238306.40016764,0.0,0.0,0.21
29,-16.800714000000006,-58.305,Pantanal,5898392.1598991575,0.0,0.0,0.02
30,-16.82,-56.53,Pantanal,1179569.2254890704,0.0,9.4,0.2
31,-16.83,-56.54,Pantanal,1179508.5003197093,0.0,9.4,0.32
32,-16.852059,-56.575588,Pantanal,11793686.912888655,0.0,0.0,0.09
33,-16.945,-57.96,Pantanal,2357615.2411770863,0.0,0.0,1.0
34,-16.97,-57.135,Pantanal,2357309.286984088,0.0,0.0,0.01
35,-16.994474,-57.939211,Pantanal,29462443.20118284,0.0,0.0,1.0
36,-16.99,-57.92,Pantanal,1178532.0995840142,0.0,3.0,1.0
37,-17.01,-55.41,Pantanal,1178409.4146206493,0.0,0.0,1.0
38,-17.028636,-55.435908999999995,Pantanal,8248006.049803174,0.0,0.0,0.96
39,-17.19,-56.15,Pantanal,1177298.9044175474,0.0,8.9,0.29
40,-17.2,-56.15,Pantanal,1177236.874600795,0.0,1.7,0.07
41,-17.2,-56.045,Pantanal,2354473.749203781,0.0,0.0,1.0
42,-17.235,-55.018333,Pantanal,4708140.124306039,0.0,0.0,0.73
43,-17.255,-56.01,Pantanal,2353790.152918624,0.0,0.0,0.63
44,-17.26,-56.235,Pantanal,2353727.911729162,0.0,0.0,1.0
45,-17.29,-56.32,Pantanal,1176677.0209519598,0.0,0.4,1.0
46,-17.29,-56.18,Pantanal,1176677.020953055,0.0,0.0,1.0
47,-17.306429,-56.385,Pantanal,3529719.08201987,0.0,0.0,0.73
48,-17.31,-55.98,Pantanal,1176552.2215758516,0.0,0.0,0.74
49,-17.32,-56.2,Pantanal,1176489.7690618704,0.0,0.8,1.0
50,-17.32,-55.93,Pantanal,1176489.7690629656,0.0,0.0,0.15
51,-17.326429,-56.345,Pantanal,3529344.331728556,0.0,0.0,0.34
52,-17.269946,-56.156183,Pantanal,220070774.46371305,0.0,0.0,1.0
53,-17.35,-55.91,Pantanal,1176302.200239219,0.0,0.0,0.01
54,-17.36,-56.305,Pantanal,2352479.2137516267,0.0,0.0,1.0
55,-17.36,-55.9,Pantanal,1176239.6068747183,0.0,0.0,1.0
56,-17.37,-55.84,Pantanal,1176176.9783027906,0.0,0.0,1.0
57,-17.38,-56.34125,Pantanal,12937257.107670367,0.0,0.0,1.0
58,-17.354385,-55.93899999999999,Pantanal,164686211.55593568,0.0,0.0,1.0
59,-17.395625,-56.435625,Pantanal,15288357.26058948,0.0,0.0,1.0
60,-17.39,-56.34,Pantanal,1176051.615535557,0.0,0.0,1.0
61,-17.4,-56.69,Pantanal,3527966.6440273267,0.0,1.3,1.0
62,-17.407,-56.068999999999996,Pantanal,11759135.263882505,0.0,0.0,0.6
63,-17.42,-56.02,Pantanal,1175863.3073525506,0.0,0.0,1.0
64,-17.43,-56.03,Pantanal,1175800.4675590592,0.0,0.0,1.0
65,-17.45,-55.91,Pantanal,1175674.6823695092,0.0,0.0,1.0
66,-17.45,-55.77,Pantanal,1175674.6823706045,0.0,0.0,0.75
67,-17.46,-55.92,Pantanal,1175611.7369844036,0.0,0.0,1.0
68,-17.470385,-56.391923,Pantanal,10579938.737237934,0.0,0.0,1.0
69,-17.48,-56.13,Pantanal,1175485.7406291491,0.0,0.0,1.0
70,-17.48,-56.11,Pantanal,3526457.2218885417,0.0,0.0,1.0
71,-17.485,-55.925,Pantanal,3526394.170927156,0.0,0.0,0.92
72,-17.495,-56.09,Pantanal,2350782.293178759,0.0,14.3,0.01
73,-17.49,-55.95,Pantanal,1175422.6896644768,0.0,0.0,0.84
74,-17.505,-55.935,Pantanal,3525952.567845128,0.0,0.0,0.86
75,-17.430357,-55.746964,Pantanal,159911842.16556674,0.0,0.0,0.47
76,-17.475908999999998,-56.087545,Pantanal,153982849.41158786,0.0,0.0,1.0
77,-17.54,-56.56,Pantanal,1175106.9070319994,0.0,0.0,1.0
78,-17.54,-55.725,Pantanal,2350213.8140618084,0.0,0.0,1.0
79,-17.55,-56.545,Pantanal,2350087.2898974386,0.0,0.0,1.0
80,-17.55,-56.03,Pantanal,1175043.6449509098,0.0,0.6,1.0
81,-17.565,-56.57166700000001,Pantanal,14099193.969268007,0.0,0.0,0.16
82,-17.6,-56.195,Pantanal,7048424.24406489,0.0,0.0,0.07
83,-17.625,-55.790263,Pantanal,27015096.09220352,0.0,0.0,0.54
84,-17.62,-55.79,Pantanal,1174599.8254285306,0.0,0.0,0.38
85,-17.63,-55.46,Pantanal,1174536.2819497914,0.0,0.0,1.0
86,-17.64,-55.485,Pantanal,2348945.406606109,0.0,0.0,1.0
