,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
86,-7.255,-38.0,Caatinga,2442626.485138099,0.0,0.0,1.0
87,-7.26,-37.745,Caatinga,4885200.12813251,0.0,0.0,1.0
88,-7.26,-37.64,Caatinga,1221300.032032032,0.0,0.0,1.0
89,-7.27,-37.65,Caatinga,1221273.57469254,0.0,0.0,1.0
90,-7.355,-38.61,Caatinga,2442094.436904664,0.0,0.0,1.0
91,-7.75,-40.145,Caatinga,2439921.962814666,0.0,1.4,0.28
92,-7.765,-40.155,Caatinga,3659741.702816322,0.0,1.4,0.28
93,-7.78,-40.18,Caatinga,1219876.1713347335,0.0,1.4,0.28
94,-7.79,-40.165,Caatinga,2439695.657675336,0.0,1.4,0.28
95,-8.316429,-39.965,Caatinga,3654911.7802644204,0.0,0.0,0.0
96,-8.33,-39.995,Caatinga,2436527.082238777,0.0,0.0,0.0
97,-8.35,-39.965,Caatinga,2436405.671938715,0.0,0.0,0.0
98,-8.49,-38.585,Caatinga,2435547.692178376,0.0,0.0,1.0
99,-8.505,-38.57,Caatinga,2435454.9152952987,0.0,0.0,1.0
100,-8.555,-41.34,Caatinga,2435144.5131244063,0.0,0.0,0.06
101,-8.57,-41.35,Caatinga,1217525.5243649604,0.0,0.0,0.06
102,-8.575,-39.888333,Caatinga,4870070.894411057,0.0,0.0,0.01
103,-8.585,-41.03,Caatinga,2434957.403421065,0.0,0.0,0.62
104,-8.601,-39.88,Caatinga,7304559.492394278,0.0,0.0,0.02
105,-8.61,-39.9,Caatinga,1217400.4951093786,0.0,0.0,0.02
106,-8.735,-39.42,Caatinga,2434012.086814209,0.0,0.0,0.36
107,-8.835,-38.085,Caatinga,4866745.665889624,0.0,0.0,1.0
108,-8.86,-38.07,Caatinga,1216605.9491891451,0.0,0.0,1.0
109,-8.87,-38.06,Caatinga,1216573.697186842,0.0,0.0,1.0
110,-9.8,-37.025,Caatinga,2426832.61841482,0.0,0.1,1.0
111,-9.865,-36.98,Caatinga,2426367.900092156,0.0,0.1,1.0
112,-9.995,-38.33,Caatinga,2425429.3354100767,0.0,0.0,1.0
113,-10.095,-43.119,Caatinga,10910906.964109456,0.0,0.0,0.23
114,-10.105,-43.1,Caatinga,2424625.64265389,0.0,0.0,0.23
115,-10.215,-38.3225,Caatinga,6059551.62124994,0.0,0.0,1.0
116,-10.23,-38.33,Caatinga,1211850.885871845,0.0,0.0,1.0
117,-10.33,-44.48,Caatinga,1211477.278205849,0.0,0.0,0.85
118,-10.34,-44.46,Caatinga,3634319.157601706,0.0,0.0,0.85
119,-10.815,-40.455,Caatinga,3628862.135169858,0.0,0.0,0.6
120,-10.875,-41.07,Caatinga,2418755.5763612757,0.0,0.0,1.0
121,-11.111364,-42.854091,Caatinga,8459076.529636083,0.0,0.0,1.0
122,-11.13,-42.84,Caatinga,3625076.23091606,0.0,0.2,0.41
123,-11.32,-39.515,Caatinga,2415168.4914528546,0.0,0.0,1.0
124,-11.78,-43.95,Caatinga,1205655.413036743,0.0,0.0,0.39
125,-12.105,-41.685,Caatinga,3612762.479818848,0.0,0.0,1.0
126,-12.11,-41.68,Caatinga,1204224.8774778068,0.0,0.0,1.0
127,-12.116429,-41.675,Caatinga,3612586.713307861,0.0,0.0,1.0
128,-12.255,-41.285,Caatinga,3610774.077565157,0.0,0.0,1.0
129,-12.305,-43.5,Caatinga,2406722.3848868143,0.0,4.8,0.36
130,-12.44,-43.555,Caatinga,2405510.555799697,0.0,4.8,0.36
131,-12.6,-39.46,Caatinga,1202028.6943163266,0.0,0.0,1.0
132,-12.911667,-43.155,Caatinga,6003020.992786063,0.0,0.1,0.74
133,-12.99,-41.71,Caatinga,1200219.238793886,0.0,0.0,1.0
134,-13.23,-41.815,Caatinga,2398157.351624594,0.0,0.0,1.0
135,-13.3325,-44.025,Caatinga,11986070.140211193,0.0,0.0,0.95
136,-13.465769,-41.975769,Caatinga,22760968.92686136,0.0,0.0,0.02
137,-13.738332999999999,-40.945,Caatinga,5982883.302448212,0.0,0.0,1.0
