,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
83,-5.382999999999999,-45.931000000000004,Cerrado,8579363.715280164,0.0,0.0,1.0
84,-5.391,-45.893,Cerrado,8579265.607578576,0.0,0.0,1.0
85,-5.39,-45.685,Cerrado,2451218.765805652,0.0,0.0,1.0
86,-5.405,-41.69,Cerrado,2451159.7338873725,0.0,0.0,
87,-5.411667,-41.645,Cerrado,6127869.7460224675,0.0,0.0,
88,-5.41,-45.11,Cerrado,1225570.0161678356,0.0,0.0,0.74
89,-5.425,-45.1,Cerrado,2451080.7822047253,0.0,0.0,0.45
90,-5.42,-44.81,Cerrado,1225550.278246626,0.0,0.0,0.85
91,-5.42,-41.85,Cerrado,1225550.278246626,0.0,0.0,
92,-5.42,-41.83,Cerrado,1225550.2782444356,0.0,0.0,
93,-5.435,-41.815,Cerrado,3676571.70121736,0.0,0.0,
94,-5.428529,-43.254412,Cerrado,12255324.522915645,0.0,0.0,0.66
95,-5.44,-45.14625,Cerrado,18382580.647752672,0.0,0.0,1.0
96,-5.445,-43.32,Cerrado,2451001.5395769672,0.0,0.0,0.63
97,-5.455,-45.613182,Cerrado,31862761.27586846,0.0,0.0,1.0
98,-5.455,-45.295,Cerrado,4901923.618328844,0.0,0.0,0.95
99,-5.46,-46.7,Cerrado,1225470.9628875193,0.0,0.0,1.0
100,-5.47,-46.71,Cerrado,1225451.043130818,0.0,0.0,1.0
101,-5.48,-45.71,Cerrado,3676293.2610280663,0.0,0.0,1.0
102,-5.456818,-41.855455,Cerrado,28185990.15890757,0.0,0.0,
103,-5.5,-46.69,Cerrado,1225391.0656688584,0.0,0.0,1.0
104,-5.505,-43.59,Cerrado,2450762.066124889,0.0,0.0,1.0
105,-5.52,-45.55,Cerrado,1225350.8988736959,0.0,0.0,1.0
106,-5.540882,-45.662059,Cerrado,12253085.437382972,0.0,0.0,1.0
107,-5.53,-45.62,Cerrado,1225330.760928424,0.0,0.0,1.0
108,-5.53,-45.58,Cerrado,1225330.7609295195,0.0,0.0,1.0
109,-5.544231,-45.244231,Cerrado,9802423.951894537,0.0,0.0,1.0
110,-5.535,-45.205,Cerrado,3675951.934175429,0.0,0.0,1.0
111,-5.53,-43.23,Cerrado,1225330.7609306148,0.0,0.0,1.0
112,-5.5575,-45.565,Cerrado,6126391.065951197,0.0,0.0,1.0
113,-5.545,-43.235,Cerrado,3675891.338533694,0.0,0.0,1.0
114,-5.566667,-45.695,Cerrado,9802059.54170536,0.0,0.0,1.0
115,-5.550555999999999,-43.348333000000004,Cerrado,9802363.392606976,0.0,0.0,1.0
116,-5.565,-45.2,Cerrado,2450519.974452681,0.0,0.0,1.0
117,-5.57,-45.155,Cerrado,4900999.345759345,0.0,0.0,1.0
118,-5.57,-43.535,Cerrado,2450499.6910600453,0.0,0.0,1.0
119,-5.57,-43.52,Cerrado,1225249.8455300226,0.0,0.0,1.0
120,-5.58,-45.72,Cerrado,1225229.5257744507,0.0,0.0,1.0
121,-5.58,-45.68,Cerrado,1225229.525775546,0.0,0.0,1.0
122,-5.58,-45.62,Cerrado,1225229.525775546,0.0,0.0,1.0
123,-5.576111,-45.23388900000001,Cerrado,7351417.794167705,0.0,0.0,1.0
124,-5.546379,-43.520517,Cerrado,34308713.61803397,0.0,0.0,1.0
125,-5.58,-43.23,Cerrado,3675688.577331018,0.0,0.0,1.0
126,-5.586111,-45.669444,Cerrado,4900857.034770754,0.0,0.0,1.0
127,-5.59,-45.58,Cerrado,1225209.1696647045,0.0,0.0,1.0
128,-5.595,-45.53,Cerrado,2450397.946854536,0.0,0.0,1.0
129,-5.59,-43.49,Cerrado,1225209.1696657995,0.0,0.0,1.0
130,-5.59,-43.21,Cerrado,1225209.1696657995,0.0,0.0,1.0
131,-5.59625,-45.70875,Cerrado,4900775.501228723,0.0,0.0,1.0
132,-5.6,-45.65,Cerrado,1225188.7771876408,0.0,0.0,1.0
133,-5.6,-45.58,Cerrado,1225188.7771876408,0.0,0.0,1.0
134,-5.6,-45.57,Cerrado,1225188.7771876408,0.0,0.0,1.0
135,-5.6,-43.185,Cerrado,2450377.5543752816,0.0,0.0,1.0
136,-5.61,-43.45,Cerrado,13476933.51088683,0.0,0.0,1.0
137,-5.61,-45.62,Cerrado,1225168.3483542127,0.0,0.0,1.0
138,-5.61,-45.435,Cerrado,2450336.696710616,0.0,0.0,1.0
139,-5.625,-47.49,Cerrado,2450275.2647728245,0.0,3.4,1.0
140,-5.62,-45.61,Cerrado,1225147.883161134,0.0,0.0,1.0
141,-5.63,-45.705,Cerrado,2450254.763223381,0.0,0.0,1.0
142,-5.64,-45.555,Cerrado,2450213.6874051928,0.0,0.0,1.0
143,-5.651,-45.245,Cerrado,15926100.782938208,0.0,0.0,1.0
144,-5.64,-43.47,Cerrado,1225106.843700406,0.0,0.0,1.0
