,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
84,-9.91,-50.62,Amazonia,1213022.2006228454,0.0,0.0,0.53
85,-9.91,-50.57,Amazonia,1213022.2006217502,0.0,0.0,0.53
86,-9.92,-50.65,Amazonia,1212986.1560911466,0.0,0.0,0.53
87,-9.92,-50.56,Amazonia,1212986.1560911466,0.0,0.0,0.53
88,-10.025,-51.925,Amazonia,3637798.2974250927,0.0,0.0,0.53
89,-10.025,-51.901666999999996,Amazonia,6063045.750819792,0.0,0.0,0.53
90,-10.035,-53.66,Amazonia,2425138.093340193,0.0,0.0,0.53
91,-10.061,-64.90100000000001,Amazonia,7274902.983394205,0.0,0.0,0.68
92,-10.066111,-53.649443999999995,Amazonia,4849801.223175992,0.0,0.0,0.53
93,-10.08,-53.62,Amazonia,1212404.5377419393,0.0,0.0,0.53
94,-10.119615,-52.204231,Amazonia,8485803.797475822,0.0,0.0,0.53
95,-10.14,-52.08,Amazonia,1212184.050528938,0.0,0.0,0.53
96,-10.146666999999999,-51.92,Amazonia,8485140.785275213,0.0,0.0,0.53
97,-10.17,-52.715,Amazonia,2424146.640259017,0.0,0.0,0.53
98,-10.164411999999999,-52.179118,Amazonia,24242352.46213413,0.0,0.0,0.53
99,-10.225,-52.655,Amazonia,3635626.982628219,0.0,0.0,0.53
100,-10.255,-52.4,Amazonia,2423515.634767514,0.0,0.0,0.53
101,-10.256428999999999,-51.185,Amazonia,3635254.8168216487,0.0,0.0,0.53
102,-10.29,-51.595,Amazonia,2423254.3076332067,0.0,0.0,0.53
103,-10.315,-56.64,Amazonia,2423067.089269307,0.0,0.0,0.53
104,-10.409,-52.053000000000004,Amazonia,8478268.354702942,0.0,0.0,0.53
105,-10.43,-51.86,Amazonia,1211100.0664241356,0.0,0.0,0.53
106,-10.5,-52.88,Amazonia,1210833.874191816,0.0,0.0,0.53
107,-10.515,-52.015,Amazonia,3632348.900263748,0.0,0.0,0.53
108,-10.665,-53.865,Amazonia,3630617.671603297,0.0,0.0,0.53
109,-10.7,-53.79,Amazonia,1210063.59894671,0.0,0.0,0.53
110,-10.71,-53.8,Amazonia,1210024.7070382843,0.0,0.0,0.53
111,-10.71,-53.775,Amazonia,2420049.4140787595,0.0,0.0,0.53
112,-10.7125,-54.55,Amazonia,7260148.17022014,0.0,0.0,0.53
113,-10.731667,-54.525,Amazonia,6049773.0039278185,0.0,0.0,0.53
114,-10.8,-54.815,Amazonia,2419346.119292226,0.0,0.0,0.53
115,-10.845,-56.69,Amazonia,2418992.275868948,0.0,0.0,0.53
116,-10.86,-54.18666700000001,Amazonia,8466137.884197688,0.0,0.0,0.53
117,-10.905,-54.205,Amazonia,3627757.53754515,0.0,0.0,0.53
118,-10.921,-56.425,Amazonia,9673676.545243114,0.0,0.0,0.53
119,-10.95,-54.54,Amazonia,1209080.5011548426,0.0,0.0,0.53
120,-10.965,-54.525,Amazonia,3627082.300217358,0.0,0.0,0.53
121,-10.99,-55.0,Amazonia,1208921.1179899976,0.0,0.0,0.53
122,-10.995,-52.445,Amazonia,3626723.4182218607,0.0,0.0,0.53
123,-11.041667,-54.085,Amazonia,6043645.440971511,0.0,0.0,0.53
124,-11.0925,-53.83,Amazonia,13293922.566457272,0.0,0.0,0.53
125,-11.109000000000002,-52.528999999999996,Amazonia,6042237.868066883,0.0,0.0,0.53
126,-11.11,-55.21,Amazonia,1208439.5145115757,0.0,0.0,0.53
127,-11.14,-54.735,Amazonia,2416636.608491995,0.0,0.0,0.53
128,-11.175,-56.738333,Amazonia,6040902.684873751,0.0,0.0,0.53
129,-11.17,-55.7,Amazonia,1208196.7702790934,0.0,0.0,0.53
130,-11.17,-52.23,Amazonia,1208196.7702779982,0.0,0.0,0.53
131,-11.18,-55.71,Amazonia,1208156.1870209738,0.0,0.0,0.53
132,-11.179,-52.511,Amazonia,6040821.482408588,0.0,0.0,0.53
133,-11.195,-54.478333,Amazonia,6040496.528671184,0.0,0.0,0.53
134,-11.19,-52.49,Amazonia,1208115.567804072,0.0,0.0,0.53
135,-11.201667,-54.205,Amazonia,6040415.182348986,0.0,0.0,0.53
136,-11.220999999999998,-53.836999999999996,Amazonia,14496043.71832876,0.0,0.0,0.53
137,-11.241,-56.75100000000001,Amazonia,7247512.356850121,0.0,0.0,0.53
138,-11.27,-56.19,Amazonia,6038946.597459051,0.0,0.0,0.53
139,-11.275,-54.55,Amazonia,2415537.6961335186,0.0,0.0,0.53
140,-11.3,-52.625,Amazonia,4830665.496405906,0.0,0.0,0.53
141,-11.31,-52.61,Amazonia,1207625.3323823037,0.0,0.0,0.53
142,-11.320714,-57.785,Amazonia,6037880.070068554,0.0,0.0,0.53
143,-11.32,-56.14,Amazonia,1207584.245728618,0.0,0.0,0.53
144,-11.32,-52.64,Amazonia,1207584.2457275228,0.0,0.0,0.53
145,-11.405,-56.715,Amazonia,4828934.213000618,0.0,0.0,0.53
146,-11.418333,-54.855,Amazonia,6035815.49223211,0.0,0.0,0.53
147,-11.4325,-56.3325,Amazonia,10864293.690134624,0.0,0.0,0.53
148,-11.465,-54.69,Amazonia,2413968.8905574842,0.0,0.0,0.53
149,-11.49,-57.545,Amazonia,2413760.5458993213,0.0,0.0,0.53
150,-11.524091,-57.529545,Amazonia,18101073.23655853,0.0,0.0,0.53
151,-11.525,-51.35,Amazonia,4826936.174429706,0.0,0.0,0.53
152,-11.535,-58.085,Amazonia,4826768.736931425,0.0,0.0,0.46
153,-11.565,-58.985,Amazonia,3619720.1641747816,0.0,0.0,0.46
154,-11.560714,-55.88071400000001,Amazonia,9652657.007818002,0.0,0.0,0.53
155,-11.56,-51.32,Amazonia,1206587.3830976994,0.0,0.0,0.53
156,-11.57,-51.31,Amazonia,1206545.397977193,0.0,0.0,0.53
157,-11.61,-58.505,Amazonia,2412754.196474044,0.0,0.0,0.46
158,-11.62,-56.185,Amazonia,2412669.866989125,0.0,0.0,0.53
159,-11.62,-55.755,Amazonia,2412669.866989125,0.0,0.0,0.53
160,-11.62,-54.71,Amazonia,1206334.9334945623,0.0,0.0,0.53
161,-11.63,-54.3125,Amazonia,10856676.724301437,0.0,0.0,0.53
162,-11.63,-55.78,Amazonia,1206292.732832751,0.0,0.0,0.53
163,-11.63,-54.72,Amazonia,1206292.7328305605,0.0,0.0,0.53
164,-11.64,-56.18,Amazonia,1206250.4962483014,0.0,0.0,0.53
165,-11.64,-54.34,Amazonia,1206250.4962483014,0.0,0.0,0.53
166,-11.655,-58.625,Amazonia,4824748.278140451,0.0,0.0,0.46
167,-11.65,-56.17,Amazonia,1206208.2237455943,0.0,0.0,0.53
168,-11.65,-55.76,Amazonia,1206208.2237444993,0.0,0.0,0.53
169,-11.675,-54.475,Amazonia,3618328.332708609,0.0,0.0,0.53
170,-11.685,-54.31166700000001,Amazonia,4824197.514421763,0.0,0.0,0.53
171,-11.7,-58.255,Amazonia,2411992.644966793,0.0,0.0,0.46
172,-11.705,-51.645,Amazonia,3617946.4794576564,0.0,0.0,0.53
173,-11.71,-55.225,Amazonia,2411907.668975153,0.0,0.0,0.53
174,-11.715,-54.945,Amazonia,3617776.455646624,0.0,0.0,0.53
175,-11.71,-54.67,Amazonia,1205953.8344897672,0.0,0.0,0.53
176,-11.72,-54.66,Amazonia,1205911.3105789763,0.0,0.0,0.53
177,-11.72,-51.605,Amazonia,2411822.621160143,0.0,0.0,0.53
178,-11.73,-51.59,Amazonia,1205868.7507597855,0.0,0.0,0.53
179,-11.75,-52.78,Amazonia,1205783.5233951102,0.0,0.0,0.53
180,-11.75,-52.46,Amazonia,1205783.523394015,0.0,0.0,0.53
181,-11.759,-54.748999999999995,Amazonia,12057365.747300742,0.0,0.0,0.53
182,-11.765,-54.93,Amazonia,2411439.0082442714,0.0,0.0,0.53
183,-11.770455,-54.38409100000001,Amazonia,9645456.96517944,0.0,0.0,0.53
184,-11.77,-54.36,Amazonia,1205698.1523957408,0.0,0.0,0.53
185,-11.77,-51.84,Amazonia,1205698.1523957408,0.0,0.0,0.53
186,-11.776428999999998,-51.820714,Amazonia,6028362.5438951375,0.0,0.0,0.53
187,-11.795,-58.095,Amazonia,4822364.928745502,0.0,0.0,0.46
188,-11.811667,-54.545,Amazonia,6027677.708826602,0.0,0.0,0.53
189,-11.8,-51.59,Amazonia,1205569.8266023102,0.0,0.0,0.53
190,-11.82,-58.245,Amazonia,4821936.350334957,0.0,0.0,0.46
191,-11.815,-51.95,Amazonia,2411011.076094012,0.0,0.0,0.53
192,-11.82,-58.1,Amazonia,1205484.0965550886,0.0,0.0,0.46
193,-11.819,-52.31433300000001,Amazonia,10849442.52727113,0.0,0.0,0.53
194,-11.820385,-51.598846,Amazonia,8438388.604108252,0.0,0.0,0.53
195,-11.83,-51.57,Amazonia,1205441.17768257,0.0,0.0,0.53
196,-11.826538000000001,-53.55269200000001,Amazonia,9643572.196754243,0.0,0.0,0.53
197,-11.84,-51.59,Amazonia,1205398.222910413,0.0,0.0,0.53
198,-11.866429,-52.475,Amazonia,3615850.492055045,0.0,0.0,0.53
199,-11.88,-56.345,Amazonia,2410452.0896639684,0.0,0.0,0.53
200,-11.880556,-51.685,Amazonia,18078433.6272574,0.0,0.0,0.53
201,-11.9,-57.29,Amazonia,8435978.111144964,0.0,0.0,0.53
202,-11.906429,-55.240714000000004,Amazonia,6025569.083947684,0.0,0.0,0.53
203,-11.915,-54.4875,Amazonia,6025352.946039777,0.0,0.0,0.53
204,-11.906429,-51.675,Amazonia,3615332.809162792,0.0,0.0,0.53
205,-11.91,-51.465,Amazonia,2410193.068742655,0.0,0.0,0.53
206,-11.925,-54.955,Amazonia,3615073.32164148,0.0,0.0,0.53
207,-11.93,-54.51,Amazonia,1205010.014603275,0.0,0.0,0.53
208,-11.94,-54.495,Amazonia,2409933.4017680627,0.0,0.0,0.53
209,-11.94,-54.47,Amazonia,1204966.7008851266,0.0,0.0,0.53
210,-11.95,-52.8,Amazonia,1204923.3512750077,0.0,0.0,0.53
211,-11.95,-52.535,Amazonia,4819693.369215726,0.0,0.0,0.53
212,-11.96,-52.81,Amazonia,1204879.9657772987,0.0,0.0,0.53
213,-11.96,-52.52,Amazonia,1204879.9657772987,0.0,0.0,0.53
214,-11.981667,-54.305,Amazonia,6024008.857022483,0.0,0.0,0.53
215,-11.97,-52.82,Amazonia,1204836.5443974768,0.0,0.0,0.53
216,-11.98,-54.33,Amazonia,1204793.0871267798,0.0,0.0,0.53
217,-12.0,-52.32,Amazonia,1204706.064934665,0.0,0.0,0.53
218,-12.005,-58.31,Amazonia,2409368.564949008,0.0,0.0,0.46
219,-12.003571,-54.336429,Amazonia,9637517.752955412,0.0,0.0,0.53
220,-11.998571,-52.322143,Amazonia,31323312.92292641,0.0,0.0,0.53
221,-12.025,-54.36,Amazonia,2409194.1617425517,0.0,0.0,0.53
222,-12.025,-52.55,Amazonia,2409194.161739266,0.0,0.0,0.53
223,-12.016428999999999,-52.525,Amazonia,3613900.2984370617,0.0,0.0,0.53
224,-12.02,-52.32,Amazonia,1204618.899210812,0.0,0.0,0.53
225,-12.03,-52.32,Amazonia,1204575.262528454,0.0,0.0,0.53
226,-12.04,-54.34,Amazonia,3613594.76989852,0.0,0.0,0.53
227,-12.055,-52.255,Amazonia,4817864.0374582,0.0,0.0,0.53
228,-12.065,-54.75,Amazonia,2408844.494214783,0.0,0.0,0.53
229,-12.06,-52.225,Amazonia,2408888.274408069,0.0,0.0,0.53
230,-12.07,-57.81,Amazonia,1204400.3570107482,0.0,0.0,0.46
231,-12.066429,-55.055,Amazonia,3613244.85121896,0.0,0.0,0.53
232,-12.08,-54.76,Amazonia,1204356.5409364442,0.0,0.0,0.53
233,-12.09,-55.06,Amazonia,1204312.6889909795,0.0,0.0,0.53
234,-12.1,-55.05,Amazonia,1204268.8011688779,0.0,0.0,0.53
235,-12.1,-55.02,Amazonia,1204268.8011688779,0.0,0.0,0.53
236,-12.11,-55.04,Amazonia,1204224.8774799972,0.0,0.0,0.53
237,-12.11,-54.94,Amazonia,1204224.8774767115,0.0,0.0,0.53
238,-12.11,-51.95,Amazonia,1204224.8774799972,0.0,0.0,0.53
239,-12.125,-62.895,Amazonia,4816635.6807845635,0.0,0.0,0.71
240,-12.12,-51.935,Amazonia,4816723.635783472,0.0,0.0,0.53
241,-12.13,-57.775,Amazonia,2408273.8449577936,0.0,0.0,0.46
242,-12.14,-62.915,Amazonia,2408185.7823508787,0.0,0.0,0.71
243,-12.155,-56.898332999999994,Amazonia,6020155.913936648,0.0,0.0,0.53
244,-12.17,-56.88,Amazonia,3611881.746167982,0.0,0.0,0.53
245,-12.169,-55.191,Amazonia,6019847.013323923,0.0,0.0,0.53
246,-12.175,-52.88,Amazonia,2407876.9893395873,0.0,0.0,0.53
247,-12.17,-51.69,Amazonia,1203960.582056724,0.0,0.0,0.53
248,-12.18,-55.17,Amazonia,1203916.4072861492,0.0,0.0,0.53
249,-12.2,-57.31,Amazonia,1203827.9501490423,0.0,0.0,0.53
250,-12.2,-54.945,Amazonia,2407655.9002980846,0.0,0.0,0.53
251,-12.194048,-51.695952,Amazonia,19261379.439818025,0.0,0.0,0.53
252,-12.2,-51.67,Amazonia,1203827.9501501378,0.0,0.0,0.53
253,-12.215,-57.335,Amazonia,3611306.685142697,0.0,0.0,0.53
254,-12.22,-57.29,Amazonia,1203739.3495656282,0.0,0.0,0.53
255,-12.23,-57.32,Amazonia,1203694.9954819663,0.0,0.0,0.53
256,-12.23,-57.3,Amazonia,1203694.9954819663,0.0,0.0,0.53
257,-12.245,-51.775,Amazonia,4814513.570566139,0.0,0.0,0.53
258,-12.255,-51.93,Amazonia,2407167.897824565,0.0,0.0,0.53
259,-12.27,-51.89,Amazonia,3610551.6617113007,0.0,0.0,0.53
260,-12.276428999999998,-54.755,Amazonia,3610462.594979138,0.0,0.0,0.53
261,-12.295,-55.3,Amazonia,2406811.630886061,0.0,0.0,0.53
262,-12.29,-55.225,Amazonia,2406856.2359605096,0.0,0.0,0.53
263,-12.29,-54.66,Amazonia,1203428.117979159,0.0,0.0,0.53
264,-12.295,-54.64,Amazonia,2406811.630889347,0.0,0.0,0.53
265,-12.3,-54.67,Amazonia,1203383.512909092,0.0,0.0,0.53
266,-12.305,-53.275,Amazonia,4813444.769773629,0.0,0.0,0.53
267,-12.31,-54.825,Amazonia,2406677.7439598246,0.0,0.0,0.53
268,-12.31,-54.66,Amazonia,1203338.871978817,0.0,0.0,0.53
269,-12.35,-55.055,Amazonia,2406319.8995522377,0.0,0.0,0.53
270,-12.378333,-54.775417000000004,Amazonia,25263846.54251952,0.0,0.0,0.53
271,-12.395,-54.96,Amazonia,2405915.9445143025,0.0,0.0,0.53
272,-12.41,-56.58,Amazonia,1202890.4910951843,0.0,0.0,0.53
273,-12.43,-56.575,Amazonia,4811201.503376208,0.0,0.0,0.53
274,-12.44,-54.37,Amazonia,1202755.2779009435,0.0,0.0,0.53
275,-12.44,-54.335,Amazonia,2405510.555799697,0.0,0.0,0.53
276,-12.44,-52.42,Amazonia,1202755.2779009435,0.0,0.0,0.53
277,-12.45,-54.36,Amazonia,1202710.1351577665,0.0,0.0,0.53
278,-12.45,-52.41,Amazonia,1202710.135156671,0.0,0.0,0.53
279,-12.470999999999998,-55.39100000000001,Amazonia,6013098.675005558,0.0,0.0,0.53
280,-12.495,-52.075,Amazonia,16835182.02144265,0.0,0.0,0.53
281,-12.503571,-52.445,Amazonia,4809890.142158192,0.0,0.0,0.53
282,-12.52,-53.065,Amazonia,2404786.2652443186,0.0,0.0,0.53
283,-12.53,-52.475,Amazonia,2404695.40644151,0.0,0.0,0.53
284,-12.555,-51.985,Amazonia,3606724.673939573,0.0,0.0,0.53
285,-12.56,-51.97,Amazonia,1202211.2000612062,0.0,0.0,0.53
286,-12.56125,-52.46875,Amazonia,7213267.057072078,0.0,0.0,0.53
287,-12.58,-54.505,Amazonia,2404240.037663931,0.0,0.0,0.53
288,-12.58,-52.075,Amazonia,2404240.037663931,0.0,0.0,0.53
289,-12.59,-52.465,Amazonia,2404148.7489657844,0.0,0.0,0.53
290,-12.595,-52.095,Amazonia,3606177.4432799206,0.0,0.0,0.53
291,-12.591,-54.479,Amazonia,6010326.156432594,0.0,0.0,0.53
292,-12.615,-56.53,Amazonia,2403920.2048410825,0.0,0.0,0.53
293,-12.615,-52.366429,Amazonia,6009869.139813793,0.0,0.0,0.53
294,-12.61,-51.78,Amazonia,3605948.934971615,0.0,0.0,0.53
295,-12.63,-57.64,Amazonia,1201891.4388919615,0.0,0.0,0.46
296,-12.64,-57.66,Amazonia,3605536.8463356136,0.0,0.0,0.46
297,-12.64,-57.27,Amazonia,1201845.6154466649,0.0,0.0,0.46
298,-12.635,-52.363889,Amazonia,6009319.724118441,0.0,0.0,0.53
299,-12.645,-54.19,Amazonia,4807290.743265462,0.0,0.0,0.53
300,-12.655,-57.67166700000001,Amazonia,4807061.339535184,0.0,0.0,0.46
301,-12.649614999999999,-51.994231,Amazonia,8412552.362426596,0.0,0.0,0.53
302,-12.665,-55.125,Amazonia,3605215.652457916,0.0,0.0,0.53
303,-12.66,-51.96,Amazonia,1201753.8611156426,0.0,0.0,0.53
